Spring_Name,Distance_to_spring_m,Species,Height_m,Age_yrs,Growth_Rate,Method
Hole_complex,0_10,PSME,0.07,2,0.035,whorl
Hole_complex,10_20,PSME,0.67,12,0.055833333,whorl
Hole_complex,20_30,PSME,3.1,17,0.182352941,borer
Hole_complex,20_30,PSME,2.3,16,0.14375,borer
Hole_complex,20_30,PSME,1.14,15,0.076,borer
Hole_complex,20_30,PSME,3.5,19,0.184210526,borer
Hole_complex,20_30,PSME,3.5,19,0.184210526,borer
Hole_complex,0_10,PSME,5.6,20,0.28,borer
Hole_complex,0_10,PSME,5.5,19,0.289473684,borer
Hole_complex,10_20,PSME,4.2,14,0.3,borer
Hole_complex,10_20,PSME,3.8,13,0.292307692,borer
Hole_complex,10_20,PSME,4.2,14,0.3,borer
Hole_complex,10_20,PSME,5,20,0.25,borer
Hole_complex,10_20,PSME,5.5,19,0.289473684,borer
Hole_complex,20_30,PSME,5.3,18,0.294444444,borer
Hole_complex,20_30,PSME,4.5,17,0.264705882,borer
Hole_complex,20_30,PSME,3.2,16,0.2,borer
Hole_complex,20_30,PSME,3.2,14,0.228571429,borer
Hole_complex,20_30,PSME,3.7,13,0.284615385,borer
Hole_complex,30_40,PSME,3.1,19,0.163157895,borer
Hole_complex,0_10,PSME,5.6,15,0.373333333,borer
Hole_complex,0_10,PSME,1.9,12,0.158333333,borer
Hole_complex,0_10,PSME,5.3,14,0.378571429,borer
Hole_complex,0_10,PSME,2.3,10,0.23,borer
Calf,10_20,PICO,6.3,24,0.2625,borer
Calf,10_20,PICO,2.4,17,0.141176471,borer
Calf,10_20,PICO,4,16,0.25,borer
Calf,10_20,PICO,3.4,12,0.283333333,borer
Calf,30_40,PICO,1.4,14,0.1,whorl
Calf,30_40,PICO,1.7,13,0.130769231,whorl
Picea,0_10,PIEN,1.2,13,0.092307692,whorl
Picea,0_10,PIEN,1.4,13,0.107692308,whorl
Picea,10_20,PICO,5.1,17,0.3,borer
Picea,0_10,PICO,4.4,13,0.338461538,borer
Picea,0_10,PICO,3.4,13,0.261538462,borer
Picea,10_20,PICO,2.2,11,0.2,whorl
Picea,30_40,PSME,0.6,10,0.06,whorl
Bog,0_10,PICO,4.5,17,0.264705882,borer
Bog,0_10,PICO,1.7,14,0.121428571,whorl
Bog,0_10,PICO,5,20,0.25,borer
Bog,10_20,PICO,3.2,18,0.177777778,borer
Bog,10_20,PICO,0.24,5,0.048,whorl
Bog,20_30,PICO,0.13,2,0.065,whorl
Bog,10_20,PIEN,3,19,0.157894737,borer
Big Slump,0_10,PICO,2.3,12,0.191666667,whorl
Big Slump,0_10,PICO,6.4,16,0.4,borer
Big Slump,0_10,PSME,0.3,9,0.033333333,whorl
Big Slump,0_10,PICO,4.3,16,0.26875,borer
Big Slump,0_10,PICO,9,21,0.428571429,borer
Big Slump,0_10,PSME,1.7,14,0.121428571,whorl
Big Slump,0_10,PSME,0.6,8,0.075,whorl
Big Slump,20_30,PSME,0.2,6,0.033333333,whorl
Big Slump,20_30,PSME,1.1,11,0.1,whorl
Big Slump,20_30,PSME,0.8,13,0.061538462,whorl
Big Slump,20_30,PICO,2.3,18,0.127777778,whorl
Big Slump,30_40,PICO,0.9,11,0.081818182,whorl
Big Slump,10_20,PSME,3.5,17,0.205882353,borer
Nettle_Complex,30_40,PSME,2.7,15,0.18,borer
Nettle_Complex,0_10,PSME,1,16,0.0625,whorl
Nettle_Complex,0_10,PSME,0.45,7,0.064285714,whorl
Nettle_Complex,0_10,PSME,0.87,14,0.062142857,whorl
Nettle_Complex,0_10,PSME,1.3,16,0.08125,whorl
Nettle_Complex,0_10,PSME,3,15,0.2,borer
Nettle_Complex,0_10,PSME,4.1,19,0.215789474,borer
Nettle_Complex,0_10,PSME,0.5,10,0.05,whorl
Nettle_Complex,0_10,PSME,2.45,20,0.1225,whorl
Nettle_Complex,0_10,PSME,4.4,19,0.231578947,borer
Nettle_Complex,0_10,PSME,2.42,13,0.186153846,whorl
Nettle_Complex,0_10,PSME,1.55,11,0.140909091,whorl
Nettle_Complex,0_10,PSME,3.4,19,0.178947368,borer
North_Pioneer,0_10,PICO,2.3,11,0.209090909,whorl
North_Pioneer,0_10,PICO,4,16,0.25,borer
North_Pioneer,0_10,PSME,0.3,6,0.05,whorl
North_Pioneer,0_10,PSME,0.82,13,0.063076923,whorl
North_Pioneer,0_10,PSME,1.6,13,0.123076923,whorl
North_Pioneer,0_10,PICO,4.7,14,0.335714286,borer
