Name,Longitude,Latitude,grid_cell_elevation_ft,Date,Year,Month,ppt_mm,tmin_C,tmean_C,tmax_C
Aspens,-114.8489,45.0668,6250,1988-03,1988,3,56.896,-8.833333333,-2.555555556,3.777777778
Aspens,-114.8489,45.0668,6250,1988-04,1988,4,92.964,-3,4.333333333,11.72222222
Aspens,-114.8489,45.0668,6250,1988-05,1988,5,79.502,0.388888889,7.388888889,14.38888889
Aspens,-114.8489,45.0668,6250,1988-06,1988,6,39.37,6.722222222,14.44444444,22.16666667
Aspens,-114.8489,45.0668,6250,1988-07,1988,7,0,7.166666667,16.83333333,26.5
Aspens,-114.8489,45.0668,6250,1988-08,1988,8,9.144,5.888888889,15.66666667,25.5
Aspens,-114.8489,45.0668,6250,1988-09,1988,9,10.922,1.222222222,10.16666667,19.11111111
Aspens,-114.8489,45.0668,6250,1988-10,1988,10,22.098,0.555555556,8.333333333,16.11111111
Aspens,-114.8489,45.0668,6250,1988-11,1988,11,102.108,-8.055555556,-3.888888889,0.277777778
Aspens,-114.8489,45.0668,6250,1988-12,1988,12,31.75,-12.44444444,-7.222222222,-2.055555556
Aspens,-114.8489,45.0668,6250,1989-01,1989,1,69.596,-12.55555556,-7.277777778,-2.055555556
Aspens,-114.8489,45.0668,6250,1989-02,1989,2,24.638,-15.83333333,-9.611111111,-3.388888889
Aspens,-114.8489,45.0668,6250,1989-03,1989,3,79.248,-7.555555556,-1.833333333,3.888888889
Aspens,-114.8489,45.0668,6250,1989-04,1989,4,36.83,-3.833333333,3.666666667,11.22222222
Aspens,-114.8489,45.0668,6250,1989-05,1989,5,72.644,-0.833333333,6.222222222,13.27777778
Aspens,-114.8489,45.0668,6250,1989-06,1989,6,49.276,3.722222222,11.66666667,19.61111111
Aspens,-114.8489,45.0668,6250,1989-07,1989,7,21.844,7.555555556,17.16666667,26.77777778
Aspens,-114.8489,45.0668,6250,1989-08,1989,8,35.052,4.888888889,13.61111111,22.33333333
Aspens,-114.8489,45.0668,6250,1989-09,1989,9,17.78,1.166666667,10.44444444,19.72222222
Aspens,-114.8489,45.0668,6250,1989-10,1989,10,48.514,-2.722222222,3.722222222,10.16666667
Aspens,-114.8489,45.0668,6250,1989-11,1989,11,43.942,-6.944444444,-2,2.944444444
Aspens,-114.8489,45.0668,6250,1989-12,1989,12,19.812,-10.94444444,-5.666666667,-0.444444444
Aspens,-114.8489,45.0668,6250,1990-01,1990,1,62.992,-10.44444444,-5.833333333,-1.277777778
