Spring_Name,Spring_Type,Forest_Type,Fire_Names,No_Burns,Fire_Year,Years_Since_Fire,Latitude,Longitude,Subwatershed,Date,Time,Sampler_Names,Slope,Aspect,Elevation_ft,Soil_Type,Burn_Severity_FV,WaterTemp_C,DO_MGL,Conductivity_uScm,pH,Transect_justification,Notes
Aspens,hillslope,PSME,Diamond,1,2000,23,45.06675,-114.84894,Pioneer,9/18/2023,10:55,GP,20,6,5817,Silt,High,4.8,,68.6,8.04,"First and second transects 20 meters downslope of spring emergence, perpendicular to channel on opposing sides. Third and fourth transects another 20 meters downslope from first pair of transects.","Large snags and many downed trees in footprint. Spring is in steep ravine surrounded by talus slopes with minimal vegetation. Within spring footprint overstory veg is fairly dense with aspen and maple. Mid-story vegetation: dogwood, ninebark, currant. Understory is sparse with little veg, some forbs. Much farther down channel from emergence there are a lot more regenerating trees when talus slope ends and surrounding hillslopes flatten."
Big Joe,hillslope,PSME,Diamond,1,2000,23,45.10362,-114.9241,Unnamed,10/2/2023,15:25,GP/EE,23,65,5640,Sandy silt,High,8.3,,80.5,8.04,~20 meters downslope of emergence extending perpendicular to channel,"Spring emerges from slump in steep hillside. Mossy trickle with relatively decent amount of water. Sign of elk and game trails to spring emergence. Downed snags in spring footprint. Veg: red osier dogwood, rocky mountain maple, currant, willow, thistle, moss, sedge."
Big Slump,hillslope,PICO,Diamond,1,2000,23,45.15721,-114.87205,Calf Creek,6/22/2023,11:00,GP/IW,23,270,7182,Sandy Loam,High,,,,,"1st and 2nd transects downslope from slumped spring source, ~20 meters perpendicular to spring channel. Placed 3rd and 4th transects ~20 meters downslope from 1st and 2nd transects",Large flowing spring out of large eroded slump on hillslope. Multiple emergence points forming channels. Large douglas fir trees burned/died in fire. 
Black Talus,hillslope,PSME/PIPO,"Golden, Dunce",2,2006,17,45.13042,-114.80322,Goat,9/29/2023,15:45,GP/EE,28,126,5539,Sand,High,11.7,,155.3,7.73,Extended transects below spring emergence perpendicular to channel. Large transect widths to reduce number of transects.,"Decent trickle/hillslope spring. Surrounding veg: elderberry, red osier dogwood, rocky mountain maple, red alder, currant. Very rocky/sandy surroundings. "
Bog,helocrene,PICO,"Diamond, Golden",2,2000,23,45.16991,-114.85493,Cow Creek,6/22/2023,16:12,GP/IW,7,249,7832,Sandy Loam,High,,,,,1st and 2nd transect extending perpendicular to spring below emergence point. 3rd and 4th extending from lower second seep/wetland ~20 meters from first transects,Complex of seeps and wetlands. Burned in Diamond and Golden.
Calf,helocrene,PICO,"Diamond, Vinegar",2,2000,23,45.16072,-114.87261,Calf Creek,6/22/2023,9:30,GP/IW,17,176,7287,Silt Loam,High,,,,,Visually split up spring footprint into 3rds. First transect on eastern side of spring at 1/3 downslope from source which appeared to be the most representive location for regeneration patterns around the spring. Extended perpendicuar from wetted area. Second transect at same location on opposing slope. Only did two transects for this spring since it has a small footprint. ,"This spring burned in 2000 (Diamond Complex) at high severity. Burned again in 2021 (Vinegar) at low severity. In 2021, it appears that only the west side of the spring burned, potentially acting as a fire break leaving the east side unburned."
Cave,hillslope,PSME,Diamond,1,2000,23,45.07093,-114.86408,Pioneer,6/29/2023,17:20,GP/MSE,30,82,6419,Sandy Loam,High,8.08,8.7,161.87,7.9,"The transects extend on either side of the main spring flow, down from the emergence but still within the area of signficant flow. The veg is representive on both sides. ",
Ceanothus,hillslope,PICO,"Golden, Dunce",2,1988,35,45.15206,-114.83398,Cougar,9/19/2023,12:32,GP,26,63,7306,Sand,High,7.6,,52.1,7.5,Placed first and second transects at first accessible location from Cliff trail. Two transects appeared to capture variability around spring.,"Steep ravine spring with a lot of solar exposure at channel. Fireweed, grass, currant, willow, and other forbs. Ceanothus on NE transect. Mossy tricle with decent flow. Difficult to access and move around upper portion of spring where John Whiting mapped spring emergence."
Charred Snag,hillslope,PSME/PICO,Diamond,1,2000,23,45.13921,-114.89904,Spring,10/7/2023,14:45,GP,12,304,5783,Silt Sand,High,6.9,,61.2,7.93,At first accessible spot from hiking in.,"Spring emerges from ravine with decent flow.Veg: equisetum, dogwood, currant,alder, willow, aspen, sedges, fireweed. The standing snags burned in fire look like PSME on the aspect of the first transect, but PICO on second transect. Regen/tree-presence seems to be aspect-driven."
East Pioneer,hypocrene,PSME,Diamond,1,2000,23,45.07536,-114.84416,Pioneer,7/3/2023,11:00,GP,33,231,5750,Sand,High,,,,,Two transects on opposing sides of spring at edge of emergence. Each side has a slight aspect change with difference veg presence. ,"High severity burn with no surviving seed sources in sight. A lot of solar radiation/exposure and very rocky substrate. Dense riparian/upland vegetation mix for a small flowing spring. One mossy spot with minimal surface exposure. Likely classified as a hypocrene. Very large standing dead Douglas firs within spring footprint, appears larger than other surrounding dead trees. I wonder if trees in springs reach cone-bearing stage faster than slower growing upland trees. "
