Spring_Name,Transect_ID,Transect_Slope_deg,Transect_width_m,Average_dist_to_live_tree,Distance_rank,Distance_range_m,CC_1_PCT,CC_2_PCT,CC_3_PCT,dom_cover_type,Species,Count,Height_m,Area_m2,Notes
Mountain Alder,Alder_20231002_259_1,4,10,206.9,5,0_10,0,30,70,shrub,PSME,1,5.2,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,5,0_10,0,30,70,shrub,PSME,1,1.3,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PSME,1,3.3,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PSME,1,1.95,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PSME,1,3.5,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PSME,1,5.3,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PSME,1,4.2,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PSME,1,4.2,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PSME,1,2.2,100,2021 burn
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PSME,1,0.15,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PSME,1,1,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PSME,1,1.1,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PSME,1,5.2,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,25,20_30,100,0,0,bare/grass,PSME,1,2.25,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,25,20_30,100,0,0,bare/grass,PSME,1,1.75,100,2021 burn
Mountain Alder,Alder_20231002_259_1,4,10,206.9,25,20_30,100,0,0,bare/grass,PSME,1,2.65,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,25,20_30,100,0,0,bare/grass,PSME,1,1.9,100,2021 burn
Mountain Alder,Alder_20231002_259_1,4,10,206.9,25,20_30,100,0,0,bare/grass,PSME,1,0.5,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,25,20_30,100,0,0,bare/grass,PSME,1,2.35,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,25,20_30,100,0,0,bare/grass,PICO,1,3.4,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,25,20_30,100,0,0,bare/grass,PICO,1,1.85,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,35,30_40,100,0,0,grass/shrub,PSME,1,0.75,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,35,30_40,100,0,0,grass/shrub,PSME,1,0.35,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,35,30_40,100,0,0,grass/shrub,PSME,1,1.1,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,35,30_40,100,0,0,grass/shrub,PSME,1,1.6,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,35,30_40,100,0,0,grass/shrub,PSME,1,2.8,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,35,30_40,100,0,0,grass/shrub,PICO,0,,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,25,20_30,100,0,0,bare/grass,PICO,0,,100,
Mountain Alder,Alder_20231002_259_1,4,10,206.9,15,10_20,0,90,10,shrub,PICO,0,,100,
Aspens,Aspens_20230918_108_1,10,5,246,25,20_30,100,0,0,rock,PSME,0,,50,
Aspens,Aspens_20230918_108_1,10,5,246,35,30_40,100,0,0,rock,PSME,0,,50,
Aspens,Aspens_20230918_108_1,10,5,246,15,10_20,80,20,0,shrub/rock,PSME,1,0.27,50,
Aspens,Aspens_20230918_108_1,10,5,246,5,0_10,20,80,0,shrub/tree,PSME,1,0.28,50,
Aspens,Aspens_20230918_115_4,12,10,229.1666667,35,30_40,100,0,0,rock,PSME,0,,100,
Aspens,Aspens_20230918_115_4,12,10,229.1666667,15,10_20,95,5,0,shrub/rock,PSME,1,1.9,100,
Aspens,Aspens_20230918_115_4,12,10,229.1666667,25,20_30,95,5,0,tree/rock,PSME,0,,100,
Aspens,Aspens_20230918_115_4,12,10,229.1666667,5,0_10,0,50,50,shrub/tree,PSME,1,0.98,100,
Aspens,Aspens_20230918_300_3,30,5,250,15,10_20,100,0,0,rock,PSME,0,,50,
Aspens,Aspens_20230918_300_3,30,5,250,25,20_30,100,0,0,rock,PSME,0,,50,
Aspens,Aspens_20230918_300_3,30,5,250,35,30_40,100,0,0,rock,PSME,0,,50,
Aspens,Aspens_20230918_300_3,30,5,250,5,0_10,20,10,70,shrub/tree,PSME,0,,50,
Aspens,Aspens_20230918_308_2,15,5,206.6666667,15,10_20,100,0,0,rock,PSME,0,,50,
Aspens,Aspens_20230918_308_2,15,5,206.6666667,25,20_30,100,0,0,rock,PSME,0,,50,
Aspens,Aspens_20230918_308_2,15,5,206.6666667,35,30_40,100,0,0,rock,PSME,0,,50,
Aspens,Aspens_20230918_308_2,15,5,206.6666667,5,0_10,40,20,40,shrub/tree,PSME,1,0.33,50,
Big Joe,BJ_20231002_155_2,3,20,89.6,35,30_40,70,30,0,shrub,PSME,1,0.4,200,
Big Joe,BJ_20231002_155_2,3,20,89.6,25,20_30,60,40,0,shrub,PSME,1,2.1,200,
Big Joe,BJ_20231002_155_2,3,20,89.6,15,10_20,30,70,0,shrub,PSME,1,1.8,200,
Big Joe,BJ_20231002_155_2,3,20,89.6,15,10_20,30,70,0,shrub,PSME,1,1.9,200,
Big Joe,BJ_20231002_155_2,3,20,89.6,15,10_20,30,70,0,shrub,PSME,1,4.6,200,
Big Joe,BJ_20231002_155_2,3,20,89.6,15,10_20,30,70,0,shrub,PSME,1,2.05,200,
Big Joe,BJ_20231002_155_2,3,20,89.6,15,10_20,30,70,0,shrub,PSME,1,2.4,200,
Big Joe,BJ_20231002_155_2,3,20,89.6,5,0_10,15,80,5,shrub,PSME,1,4.3,200,
Big Joe,BJ_20231002_155_2,3,20,89.6,5,0_10,15,80,5,shrub,PSME,1,1.25,200,
Big Joe,BJ_20231002_155_2,3,20,89.6,5,0_10,15,80,5,shrub,PSME,1,1.45,200,
Big Joe,BJ_20231002_155_2,3,20,89.6,5,0_10,15,80,5,shrub,PSME,1,1.5,200,
