HS_FireYear,estyear,Distance_range_m,Species
1988,1988,0-10,PICO
1988,1989,0-10,PICO
1988,1990,0-10,PICO
1988,1991,0-10,PICO
1988,1992,0-10,PICO
1988,1993,0-10,PICO
1988,1994,0-10,PICO
1988,1995,0-10,PICO
1988,1996,0-10,PICO
1988,1997,0-10,PICO
1988,1998,0-10,PICO
1988,1999,0-10,PICO
1988,2000,0-10,PICO
1988,2001,0-10,PICO
1988,2002,0-10,PICO
1988,2003,0-10,PICO
1988,2004,0-10,PICO
1988,2005,0-10,PICO
1988,2006,0-10,PICO
1988,2007,0-10,PICO
1988,2008,0-10,PICO
1988,2009,0-10,PICO
1988,2010,0-10,PICO
1988,2011,0-10,PICO
1988,2012,0-10,PICO
1988,2013,0-10,PICO
1988,2014,0-10,PICO
1988,2015,0-10,PICO
1988,2016,0-10,PICO
1988,2017,0-10,PICO
1988,2018,0-10,PICO
1988,2019,0-10,PICO
1988,2020,0-10,PICO
1988,2021,0-10,PICO
1988,2022,0-10,PICO
1988,2023,0-10,PICO
1988,1988,10-20,PICO
1988,1989,10-20,PICO
1988,1990,10-20,PICO
1988,1991,10-20,PICO
1988,1992,10-20,PICO
1988,1993,10-20,PICO
1988,1994,10-20,PICO
1988,1995,10-20,PICO
1988,1996,10-20,PICO
1988,1997,10-20,PICO
1988,1998,10-20,PICO
1988,1999,10-20,PICO
1988,2000,10-20,PICO
1988,2001,10-20,PICO
1988,2002,10-20,PICO
1988,2003,10-20,PICO
1988,2004,10-20,PICO
1988,2005,10-20,PICO
1988,2006,10-20,PICO
1988,2007,10-20,PICO
1988,2008,10-20,PICO
1988,2009,10-20,PICO
1988,2010,10-20,PICO
1988,2011,10-20,PICO
1988,2012,10-20,PICO
1988,2013,10-20,PICO
1988,2014,10-20,PICO
1988,2015,10-20,PICO
1988,2016,10-20,PICO
1988,2017,10-20,PICO
1988,2018,10-20,PICO
1988,2019,10-20,PICO
1988,2020,10-20,PICO
1988,2021,10-20,PICO
1988,2022,10-20,PICO
1988,2023,20-30,PICO
1988,1988,20-30,PICO
1988,1989,20-30,PICO
1988,1990,20-30,PICO
1988,1991,20-30,PICO
1988,1992,20-30,PICO
1988,1993,20-30,PICO
1988,1994,20-30,PICO
1988,1995,20-30,PICO
1988,1996,20-30,PICO
1988,1997,20-30,PICO
1988,1998,20-30,PICO
1988,1999,20-30,PICO
1988,2000,20-30,PICO
1988,2001,20-30,PICO
1988,2002,20-30,PICO
1988,2003,20-30,PICO
1988,2004,20-30,PICO
1988,2005,20-30,PICO
1988,2006,20-30,PICO
1988,2007,20-30,PICO
1988,2008,20-30,PICO
1988,2009,20-30,PICO
1988,2010,20-30,PICO
1988,2011,20-30,PICO
1988,2012,20-30,PICO
1988,2013,20-30,PICO
1988,2014,20-30,PICO
1988,2015,20-30,PICO
1988,2016,20-30,PICO
1988,2017,20-30,PICO
1988,2018,20-30,PICO
1988,2019,20-30,PICO
1988,2020,20-30,PICO
1988,2021,20-30,PICO
1988,2022,20-30,PICO
1988,2023,20-30,PICO
1988,1988,30-40,PICO
1988,1989,30-40,PICO
1988,1990,30-40,PICO
1988,1991,30-40,PICO
1988,1992,30-40,PICO
1988,1993,30-40,PICO
1988,1994,30-40,PICO
1988,1995,30-40,PICO
1988,1996,30-40,PICO
1988,1997,30-40,PICO
1988,1998,30-40,PICO
1988,1999,30-40,PICO
1988,2000,30-40,PICO
1988,2001,30-40,PICO
1988,2002,30-40,PICO
1988,2003,30-40,PICO
1988,2004,30-40,PICO
1988,2005,30-40,PICO
1988,2006,30-40,PICO
1988,2007,30-40,PICO
1988,2008,30-40,PICO
1988,2009,30-40,PICO
1988,2010,30-40,PICO
1988,2011,30-40,PICO
1988,2012,30-40,PICO
1988,2013,30-40,PICO
1988,2014,30-40,PICO
1988,2015,30-40,PICO
1988,2016,30-40,PICO
1988,2017,30-40,PICO
1988,2018,30-40,PICO
1988,2019,30-40,PICO
1988,2020,30-40,PICO
1988,2021,30-40,PICO
1988,2022,30-40,PICO
1988,2023,30-40,PICO
1988,1988,0-10,PSME
1988,1989,0-10,PSME
1988,1990,0-10,PSME
1988,1991,0-10,PSME
1988,1992,0-10,PSME
1988,1993,0-10,PSME
1988,1994,0-10,PSME
1988,1995,0-10,PSME
1988,1996,0-10,PSME
1988,1997,0-10,PSME
1988,1998,0-10,PSME
1988,1999,0-10,PSME
1988,2000,0-10,PSME
1988,2001,0-10,PSME
1988,2002,0-10,PSME
1988,2003,0-10,PSME
1988,2004,0-10,PSME
1988,2005,0-10,PSME
1988,2006,0-10,PSME
1988,2007,0-10,PSME
1988,2008,0-10,PSME
1988,2009,0-10,PSME
1988,2010,0-10,PSME
1988,2011,0-10,PSME
1988,2012,0-10,PSME
1988,2013,0-10,PSME
1988,2014,0-10,PSME
1988,2015,0-10,PSME
1988,2016,0-10,PSME
1988,2017,0-10,PSME
1988,2018,0-10,PSME
1988,2019,0-10,PSME
1988,2020,0-10,PSME
1988,2021,0-10,PSME
1988,2022,0-10,PSME
1988,2023,0-10,PSME
1988,1988,10-20,PSME
1988,1989,10-20,PSME
1988,1990,10-20,PSME
1988,1991,10-20,PSME
1988,1992,10-20,PSME
1988,1993,10-20,PSME
1988,1994,10-20,PSME
1988,1995,10-20,PSME
1988,1996,10-20,PSME
1988,1997,10-20,PSME
1988,1998,10-20,PSME
1988,1999,10-20,PSME
1988,2000,10-20,PSME
1988,2001,10-20,PSME
1988,2002,10-20,PSME
1988,2003,10-20,PSME
1988,2004,10-20,PSME
1988,2005,10-20,PSME
1988,2006,10-20,PSME
1988,2007,10-20,PSME
1988,2008,10-20,PSME
1988,2009,10-20,PSME
1988,2010,10-20,PSME
1988,2011,10-20,PSME
1988,2012,10-20,PSME
1988,2013,10-20,PSME
1988,2014,10-20,PSME
1988,2015,10-20,PSME
1988,2016,10-20,PSME
1988,2017,10-20,PSME
1988,2018,10-20,PSME
1988,2019,10-20,PSME
1988,2020,10-20,PSME
1988,2021,10-20,PSME
1988,2022,10-20,PSME
1988,2023,20-30,PSME
1988,1988,20-30,PSME
1988,1989,20-30,PSME
1988,1990,20-30,PSME
1988,1991,20-30,PSME
1988,1992,20-30,PSME
1988,1993,20-30,PSME
1988,1994,20-30,PSME
1988,1995,20-30,PSME
1988,1996,20-30,PSME
1988,1997,20-30,PSME
1988,1998,20-30,PSME
1988,1999,20-30,PSME
1988,2000,20-30,PSME
1988,2001,20-30,PSME
1988,2002,20-30,PSME
1988,2003,20-30,PSME
1988,2004,20-30,PSME
1988,2005,20-30,PSME
1988,2006,20-30,PSME
1988,2007,20-30,PSME
1988,2008,20-30,PSME
1988,2009,20-30,PSME
1988,2010,20-30,PSME
1988,2011,20-30,PSME
1988,2012,20-30,PSME
1988,2013,20-30,PSME
1988,2014,20-30,PSME
1988,2015,20-30,PSME
1988,2016,20-30,PSME
1988,2017,20-30,PSME
1988,2018,20-30,PSME
1988,2019,20-30,PSME
1988,2020,20-30,PSME
1988,2021,20-30,PSME
1988,2022,20-30,PSME
1988,2023,20-30,PSME
1988,1988,30-40,PSME
1988,1989,30-40,PSME
1988,1990,30-40,PSME
1988,1991,30-40,PSME
1988,1992,30-40,PSME
1988,1993,30-40,PSME
1988,1994,30-40,PSME
1988,1995,30-40,PSME
1988,1996,30-40,PSME
1988,1997,30-40,PSME
1988,1998,30-40,PSME
1988,1999,30-40,PSME
1988,2000,30-40,PSME
1988,2001,30-40,PSME
1988,2002,30-40,PSME
1988,2003,30-40,PSME
