OBJECTID,Name,MERGE_SRC,Shape_Length,Z_Mean
40,Alder_20231002_259_1,Transects\transects_fall_line,0.000904537,101.1372256
75,Aspens_20230918_108_1,Transects\transects_fall_line,0.000402999,175.1300123
41,Aspens_20230918_115_4,Transects\transects_fall_line,0.00041861,198.5430276
42,Aspens_20230918_300_3,Transects\transects_fall_line,0.000409466,123.5497949
43,Aspens_20230918_308_2,Transects\transects_fall_line,0.000420802,116.9082473
44,BJ_20231002_155_2,Transects\transects_fall_line,0.000404402,128.5920904
45,BJ_20231002_348_1,Transects\transects_fall_line,0.000480418,100.076687
1,Bog_20230622_172_1,Transects\conregen_transects_20230704,0.000359017,287.8068791
2,Bog_20230622_230_4,Transects\conregen_transects_20230704,0.000359636,280.2226854
3,Bog_20230622_310_2,Transects\conregen_transects_20230704,0.000355147,204.3469155
4,Bog_20230622_330_3,Transects\conregen_transects_20230704,0.000359007,227.720285
5,BSS_20230622_180_2,Transects\conregen_transects_20230704,0.000360998,290.8796994
6,BSS_20230622_180_4,Transects\conregen_transects_20230704,0.00035513,294.8903733
7,BSS_20230622_348_1,Transects\conregen_transects_20230704,0.000364825,260.2542446
8,BSS_20230622_355_3,Transects\conregen_transects_20230704,0.000362834,256.7543623
46,BT_20230929_225_1,Transects\transects_fall_line,0.00045573,150.982504
47,BT_20230929_55_2,Transects\transects_fall_line,0.00049181,183.8562652
9,Calf_20230622_100_1,Transects\conregen_transects_20230704,0.000502102,234.2880216
10,Calf_20230622_267_2,Transects\conregen_transects_20230704,0.000498218,194.0556286
11,Cave_20230629_167_1,Transects\conregen_transects_20230704,0.000356849,40.91523664
12,Cave_20230629_342_2,Transects\conregen_transects_20230704,0.000360035,76.66413009
48,Ceanothus_20230919_160_2,Transects\transects_fall_line,0.000379383,68.01009406
49,Ceanothus_20230919_347_1,Transects\transects_fall_line,0.000355581,90.11479075
13,Complex_20230703_152_1,Transects\conregen_transects_20230704,0.000371573,71.23765673
34,Complex_20230703_322_2,Transects\conregen_transects_20230704,0.000448555,85.04867605
72,CS_20231007_205_2,Transects\transects_fall_line,0.000292877,110.4078786
50,CS_20231007_26_1,Transects\transects_fall_line,0.000344426,113.6964634
14,EP_20230703_155_2,Transects\conregen_transects_20230704,0.000449379,260.8888322
15,EP_20230703_327_1,Transects\conregen_transects_20230704,0.000470935,221.8225248
51,EQ_20230929_216_1,Transects\transects_fall_line,0.000507478,123.9537098
52,EQ_20230929_58_2,Transects\transects_fall_line,0.000506028,172.8254715
53,FW_20230928_138_1,Transects\transects_fall_line,0.000451593,41.64269756
54,FW_20230928_315_2,Transects\transects_fall_line,0.000420139,46.25625929
16,GK_20230702_145_2,Transects\conregen_transects_20230704,0.000394637,57.23109799
17,GK_20230702_315_1,Transects\conregen_transects_20230704,0.000394215,98.7418481
18,GK_20230702_320_3,Transects\conregen_transects_20230704,0.00038927,106.7991122
19,GS_20231008_115_2,Transects\conregen_transects_20230704,0.000457132,176.6804808
20,GS_20231008_293_1,Transects\conregen_transects_20230704,0.000435887,331.9380516
21,Helesport_20230629_100_2,Transects\conregen_transects_20230704,0.000368143,69.05653659
22,Helesport_20230629_108_4,Transects\conregen_transects_20230704,0.000366547,103.7802289
23,Helesport_20230629_292_3,Transects\conregen_transects_20230704,0.00051122,173.2276963
24,Helesport_20230629_348_1,Transects\conregen_transects_20230704,0.000471245,340.0004137
